0,CombatZoneResize,133,251,508,391,TLResume,,,
0,HeartTeleport,320,376,,,,,,
0,HeartMode,1,,,,,,,
0,TLPause,,,,,,,,
0,PlatformRepeat,552,346,51,2,120,8,240,
0,PlatformRepeat,-20,306,51,0,120,8,240,
1,BONEHREPEAT,552,346,51,2,120,8,240,
0,BONEHREPEAT,-20,306,51,0,120,8,240,
0,SET,Loop,14,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Y,3,,,,,,
0,MUL,Y,$Y,40,,,,,
0,ADD,Y,$Y,285,,,,,
0,GasterBlaster,0,0,0,73,$Y,0,0.56666,0.1
0,RND,Y,3,,,,,,
0,MUL,Y,$Y,40,,,,,
0,ADD,Y,$Y,285,,,,,
0,GasterBlaster,0,640,0,563,$Y,180,0.56666,0.1
1,SET,AAA,1,,,,,,
0,SUB,AAA,$AAA,1,,,,,
0,RND,Ang,360,,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,200,,,,,
0,MUL,EndY,$Y,200,,,,,
0,MUL,X,$X,400,,,,,
0,MUL,Y,$Y,300,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,
0,ADD,X,$X,$HeartX,,,,,
0,ADD,Y,$Y,$HeartY,,,,,
0,JMPNL,35,$EndX,50,,,,,
0,SET,EndX,50,,,,,,
0,JMPNG,37,$EndX,590,,,,,
0,SET,EndX,590,,,,,,
0,JMPNL,39,$EndY,40,,,,,
0,SET,EndY,40,,,,,,
0,JMPNG,41,$EndY,440,,,,,
0,SET,EndY,440,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,0.46666,0.03333
0,JMPNZ,20,$AAA,,,,,,
0,JMPNZ,10,$Loop,,,,,,
0,EndAttack,,,,,,,,
